Section,Type,Name,Year/Vintage,Varietal,Bottle Size,Amount Remaining,Proof/ABV (raw),ABV % (normalized),Flavor Notes / Profile,Cans/Bottles Remaining,Sugar-Free / Diet,Homemade or Store-Bought,Notes
Spirits,Vodka,New Amsterdam Vodka,,,,Full Bottle,40%,40,,,,,
Spirits,Cognac,Hennessy Pure White,,,700ml,Full Bottle,40%,40,,,,,
Spirits,Whiskey,Old Pali Road,,,750ml,Full Bottle,45%,45,,,,,
Spirits,Rum,Old Monk XXX Rum,,,750ml,3/4 Bottle,45%,45,,,,,
Spirits,Scotch,Tullibardine Highlands Single Malt,,,750ml,1/4 Bottle,40%,40,,,,,
Spirits,Scotch,Laphroaig Islay Single Malt Oak Select,,,750ml,Full Bottle,40%,40,"Sweet, Subtle, Smoke",,,,
Spirits,Whiskey,Bains Single Grain,,,1000ml,Half Bottle,45%,45,,,,,
Spirits,Scotch,Oban Little Bay Single Malt,,,750ml,1/4 Bottle,45%,45,,,,,
Spirits,Whiskey,Uncle Nearest 1856,,,750ml,Full Bottle,100%,100,,,,,
Spirits,Whiskey,Uncle Nearest 1884,,,750ml,Full Bottle,95%,95,,,,,
Spirits,Whiskey,Unclea Nearest Rye,,,750ml,Full Bottle,100%,100,,,,,
Spirits,Scotch,Johnnie Walker Double Black Blended,,,750ml,3/4 Bottle,40%,40,,,,,
Spirits,Scotch,The Glenlivet Single Malt Distillers Reserve,,,1000ml,Full Bottle,40%,40,,,,,
Spirits,Whiskey,Southern Comfort,,,1.75L,3/4 Bottle,100%,100,,,,,
Spirits,Gin,Caledonia Barr Hill Gin,,,750ml,Full Bottle,90%,90,,,,,
Spirits,Tequila,Montezuma Aztec Gold Tequila,,,1.75L,Half Bottle,80%,80,,,,,
Spirits,Tequila,el Olvido Anejo 100% Agave,,,750ml,3/4 Bottle,80%,80,,,,,
Spirits,Tequila,1800 Tequila Blanco Blue Agave,,,750ml,1/4 Bottle,80%,80,,,,,
Spirits,Gin,Gilbey's Gin,,,1.75L,Full Bottle,40%,40,,,,,
Spirits,Tequila,1800 Tequila Reposado,,,750ml,Half Bottle,80%,80,,,,,
Spirits,Gin,Bombay Sapphire Dry Gin,,,750ml,Half Bottle,95%,95,,,,,
Spirits,Brandy,Paul Masson Grande Amber Brandy,,,1.75L,3/4 Bottle,80%,80,,,,,
Spirits,Brandy,E&J Brandy V.S.,,,750ml,Full Bottle,80%,80,,,,,
Liqueurs & Specialty,Ready-to-Drink / PreMix,1800 The Ultimate Margarita,,,1.75L,1/4 Bottle,20%,20,,,,,
Liqueurs & Specialty,Creme,Leroux Creme de Cassis,,,750ml,Full Bottle,30%,30,Black Currant,,,,
Liqueurs & Specialty,Curacao,Llord's Blue Curacao,,,750ml,Full Bottle,30%,30,,,,,
Liqueurs & Specialty,Absinthe / Anise,Absente Absinthe Refined,,,750ml,3/4 Bottle,55%,55,,,,,
Liqueurs & Specialty,Fruit,Leroux Blackberry Flavored Brandy,,,375ml,3/4 Bottle,35%,35,,,,,
Liqueurs & Specialty,Nut,di Amore Amaretto,,,750ml,3/4 Bottle,40%,40,,,,,
Liqueurs & Specialty,Fruit,Villa Massa Limoncello,,,1000ml,3/4 Bottle,30%,30,,,,,
Liqueurs & Specialty,Fruit,Pallini Limoncello,,,500ml,3/4 Bottle,30%,30,,,,,
Liqueurs & Specialty,Schnapps,Rumple Minze Peppermint,,,750ml,Full Bottle,100%,100,,,,,
Liqueurs & Specialty,Fruit,Melon Cream Liqeur,,,750ml,Half Bottle,20%,20,,,,,
Wines & Aperitifs,Dry,Tribuno Extra Dry Vermouth,,Vermouth,,,16%,16,,,,,
Wines & Aperitifs,Sweet,Tribuno Sweet Vermouth,,Vermouth,,,16%,16,,,,,
Wines & Aperitifs,Sweet,Balic Huckleberry Wine,,Flavored Wine,,,12%,12,,,,,
Wines & Aperitifs,Sweet,Balic Alexander The Great,,Flavored Wine,,,12%,12,,,,,
Wines & Aperitifs,Sweet,Balic Pomegranate Wine,,Flavored Wine,,,12%,12,,,,,
Wines & Aperitifs,Sweet,Balic Cranberry Wine,,Flavored Wine,,,12%,12,,,,,
Wines & Aperitifs,Red,Apothic Merlot,2022,Merlot,,,14%,14,,,,,
Wines & Aperitifs,Red,Dark Horse Cabernet Sauvignon,2023,,,,14%,14,,,,,
Wines & Aperitifs,White,Il Casato - Friuli,2021,Sauvignon Blanc,,,12%,12,,,,,
Wines & Aperitifs,Sweet,Bellini Cipriani,,Flavored Wine,,,5.5%,5.5,,,,,
Beer,Beer,Amstel Light,,,,,,,,,,,
Beer,Beer,Yuengling,,,,,,,,,,,
Mixers & Non-Alcoholic,Soda,Coke,,,,,,,,,,,
Mixers & Non-Alcoholic,Soda,Pepsi,,,,,,,,,,,
Mixers & Non-Alcoholic,Soda,7-Up,,,,,,,,,,,
Mixers & Non-Alcoholic,Soda,Cherry Coke,,,,,,,,,,,
Mixers & Non-Alcoholic,Soda,Dr. Pepper,,,,,,,,,,,
Mixers & Non-Alcoholic,Soda,Sprite,,,,,,,,,,,
Mixers & Non-Alcoholic,Soda,Fever Tree Premium Ginger Beer,,,,,,,,,,,
Mixers & Non-Alcoholic,Soda,Canada Dry Ginger Ale,,,,,,,,,,,
Mixers & Non-Alcoholic,Juice,Whiskey Sour Mix,,,,,,,,,,,
Mixers & Non-Alcoholic,Syrup,Triple Sec Syrup,,,,,,,,,,,
Mixers & Non-Alcoholic,Other,"Fee Foam, non egg",,,,,,,,,,,
Mixers & Non-Alcoholic,Syrup,Rose's Grenadine Syrup,,,,,,,,,,,
Mixers & Non-Alcoholic,Juice,Rose's Sweetened Lime Juice,,,,,,,,,,,
Mixers & Non-Alcoholic,Juice,Pineapple Ginger not from concentrate,,,,,,,,,,,
Fresh & Garnishes,Ingredient,Orange,,,,,,,,,,,In Stock: No.
Fresh & Garnishes,Ingredient,Strawberry,,,,,,,,,,,In Stock: No.
Fresh & Garnishes,Ingredient,Piineapple,,,,,,,,,,,In Stock: No.
Fresh & Garnishes,Ingredient,Salt,,,,,,,,,,,In Stock: Yes. Glass rim
Fresh & Garnishes,Ingredient,Sugar,,,,,,,,,,,In Stock: Yes. Glass rim
Fresh & Garnishes,Ingredient,Taijin,,,,,,,,,,,In Stock: Yes. Glass rim
Fresh & Garnishes,Ingredient,Ginger,,,,,,,,,,,In Stock: Yes.
Fresh & Garnishes,Ingredient,Maraschino Cherries,,,,,,,,,,,In Stock: Yes.
Syrups,Grenadine,Rose's Grenadine Syrup,,,,1/4 Bottle,,,,,,Store-Bought,
Syrups,Simple,Master of Mixes Simple Syrup,,,,3/4 Bottle,,,,,,Homemade,
Syrups,Simple,Strawberry Simple Syrup,,,,1/4 Bottle,,,,,,Homemade,
Bitters,Orange bitters,Angostura Orange Bitters,,,,Full Bottle,,,,,,,
Bitters,Blood Orange,Blood Orange Juice Bitters,,,,Half Bottle,,,,,,,
Tools & Equipment,Tool,Cocktail Shaker,,,,,,,,,,,
Tools & Equipment,Tool,4 Prong Strainer,,,,,,,,,,,
Tools & Equipment,Tool,Julep Strainer,,,,,,,,,,,
Tools & Equipment,Tool,Liquor Pourer,,,,,,,,,,,
Tools & Equipment,Tool,Free Flow Liquor Pourer,,,,,,,,,,,
Tools & Equipment,Tool,Classic Jigger,,,,,,,,,,,
Tools & Equipment,Tool,Muddler,,,,,,,,,,,
Tools & Equipment,Tool,Bar spoon,,,,,,,,,,,
Tools & Equipment,Tool,Mixing glass,,,,,,,,,,,
